DOSE	REP	Ano	Prof	Presina	MO	pH	K	Ca	Mg	HAl	SB	CTC	V
Ad. Mineral	4	2019	0.20-0.40	4.0	13.0	5.3	0.4	11.0	8.0	21.0	18.7	39.7	47.0
12.5	4	2019	0.00-0.05	39.0	18.0	5.8	1.6	40.0	20.0	20.0	61.6	81.6	75.0
12.5	4	2019	0.05-0.10	27.0	17.0	5.5	1.3	29.0	14.0	25.0	44.3	69.3	64.0
12.5	4	2019	0.10-0.20	12.0	15.0	5.3	0.8	20.0	11.0	28.0	31.8	59.8	53.0
12.5	4	2019	0.20-0.40	8.0	14.0	5.2	0.7	11.0	8.0	23.0	20.0	43.0	46.0
5	4	2019	0.00-0.05	39.0	17.0	5.8	1.3	37.0	19.0	20.0	57.3	77.3	74.0
5	4	2019	0.05-0.10	27.0	18.0	5.4	0.9	28.0	14.0	28.0	42.9	70.9	61.0
5	4	2019	0.10-0.20	11.0	16.0	5.0	0.8	19.0	11.0	34.0	30.8	64.8	48.0
5	4	2019	0.20-0.40	6.0	14.0	5.0	0.6	9.0	8.0	25.0	17.6	42.6	41.0
7.5	4	2019	0.00-0.05	48.0	19.0	5.6	1.8	41.0	28.0	25.0	70.8	95.8	74.0
7.5	4	2019	0.05-0.10	26.0	17.0	5.4	1.2	28.0	15.0	28.0	44.2	72.2	61.0
7.5	4	2019	0.10-0.20	14.0	15.0	4.8	0.8	18.0	11.0	34.0	29.8	63.8	47.0
7.5	4	2019	0.20-0.40	6.0	14.0	4.9	0.5	9.0	6.0	25.0	15.5	40.5	38.0
0	4	2019	0.00-0.05	14.0	16.0	5.8	1.7	30.0	16.0	20.0	47.7	67.7	70.0
0	4	2019	0.05-0.10	10.0	15.0	5.3	1.1	23.0	11.0	25.0	35.1	60.1	58.0
0	4	2019	0.10-0.20	10.0	16.0	5.1	0.8	20.0	10.0	31.0	30.8	61.8	50.0
0	4	2019	0.20-0.40	4.0	15.0	5.1	0.3	8.0	8.0	26.0	16.3	42.3	38.0
