DOSE	REP	Ano	Prof	MACRO	MICRO	PT	DS	DMP	IEA	DMG	AGRI
7.5	3	2018	0.10-0.20	0.11	0.29	0.39	1.56	0.6	55.8	0.3	4.3
5	4	2018	0.00-0.05	0.13	0.25	0.37	1.45	0.8	64.4	0.4	9.2
5	4	2018	0.05-0.10	0.05	0.32	0.37	1.67	1.5	76.6	0.7	26.3
5	4	2018	0.10-0.20	0.12	0.28	0.39	1.61	0.9	69.3	0.5	7.9
7.5	4	2018	0.00-0.05	0.03	0.30	0.32	1.68	0.9	79.1	0.6	5.0
7.5	4	2018	0.05-0.10	0.06	0.31	0.37	1.68	0.5	59.8	0.3	1.9
7.5	4	2018	0.10-0.20	0.11	0.27	0.39	1.56	0.4	58.4	0.3	0.7
0	3	2018	0.00-0.05	0.15	0.25	0.40	1.40	0.7	69.8	0.4	7.7
0	3	2018	0.05-0.10	0.18	0.26	0.43	1.39	0.6	67.7	0.4	2.9
0	3	2018	0.10-0.20	0.18	0.25	0.44	1.38	0.6	67.5	0.4	3.5
0	4	2018	0.00-0.05	0.17	0.26	0.43	1.35	0.9	65.0	0.5	10.6
0	4	2018	0.05-0.10	0.08	0.31	0.40	1.58	0.8	64.5	0.4	7.5
0	4	2018	0.10-0.20	0.11	0.28	0.39	1.58	0.8	73.3	0.5	6.6
12.5	4	2018	0.00-0.05	0.17	0.26	0.43	1.43	1.0	69.8	0.5	12.2
12.5	4	2018	0.05-0.10	0.21	0.25	0.46	1.31	1.1	67.8	0.5	16.5
12.5	4	2018	0.10-0.20	0.10	0.30	0.40	1.57	0.9	61.9	0.5	10.0
0	1	2019	0.00-0.05	0.07	0.26	0.33	1.69	1.1	66.9	0.5	12.9
0	1	2019	0.05-0.10	0.07	0.27	0.33	1.70	1.1	70.3	0.6	16.5
0	1	2019	0.10-0.20	0.08	0.29	0.36	1.63	0.8	70.6	0.5	4.9
10	1	2019	0.00-0.05	0.06	0.28	0.34	1.60	1.4	76.6	0.7	21.8
10	1	2019	0.05-0.10	0.07	0.28	0.35	1.58	1.3	77.4	0.7	19.7
10	1	2019	0.10-0.20	0.06	0.27	0.33	1.64	0.6	72.7	0.5	2.5
5	1	2019	0.00-0.05	0.11	0.26	0.37	1.54	1.1	74.0	0.6	14.3
5	1	2019	0.05-0.10	0.06	0.28	0.34	1.55	1.2	73.7	0.6	14.6
5	1	2019	0.10-0.20	0.07	0.27	0.34	1.55	0.7	71.3	0.5	5.2
Ad. Mineral	1	2019	0.00-0.05	0.08	0.28	0.36	1.61	0.8	70.9	0.5	6.8
Ad. Mineral	1	2019	0.05-0.10	0.05	0.29	0.35	1.64	0.8	75.0	0.6	7.5
Ad. Mineral	1	2019	0.10-0.20	0.06	0.28	0.34	1.61	0.8	70.2	0.5	2.8
7.5	1	2019	0.00-0.05	0.15	0.27	0.42	1.40	0.8	42.3	0.4	7.6
7.5	1	2019	0.05-0.10	0.14	0.34	0.48	1.80	0.8	73.2	0.5	7.8
7.5	1	2019	0.10-0.20	0.10	0.28	0.39	1.48	0.5	60.4	0.4	0.6
12.5	1	2019	0.00-0.05	0.16	0.27	0.44	1.39	1.3	78.2	0.7	17.9
12.5	1	2019	0.05-0.10	0.22	0.27	0.49	1.32	0.6	69.3	0.4	4.0
12.5	1	2019	0.10-0.20	0.07	0.30	0.37	1.54	0.5	62.6	0.4	0.9
0	2	2019	0.00-0.05	0.14	0.24	0.38	1.46	1.3	72.1	0.7	21.2
0	2	2019	0.05-0.10	0.12	0.27	0.39	1.45	0.9	68.0	0.5	9.3
0	2	2019	0.10-0.20	0.11	0.25	0.36	1.52	0.6	67.5	0.4	2.9
Ad. Mineral	2	2019	0.00-0.05	0.12	0.27	0.40	1.53	1.3	73.7	0.7	19.3
Ad. Mineral	2	2019	0.05-0.10	0.09	0.26	0.35	1.56	0.7	68.8	0.5	5.1
Ad. Mineral	2	2019	0.10-0.20	0.11	0.26	0.37	1.47	0.5	59.4	0.4	1.8
10	2	2019	0.00-0.05	0.20	0.24	0.44	1.28	1.2	77.3	0.7	17.5
10	2	2019	0.05-0.10	0.14	0.26	0.40	1.44	0.6	67.1	0.4	1.3
10	2	2019	0.10-0.20	0.08	0.27	0.34	1.55	0.6	69.4	0.4	2.3
5	2	2019	0.00-0.05	0.10	0.25	0.35	1.53	0.9	67.2	0.5	8.3
5	2	2019	0.05-0.10	0.14	1.62	1.76	0.08	1.1	80.6	0.7	12.9
5	2	2019	0.10-0.20	0.12	0.26	0.38	1.50	0.5	67.0	0.4	0.9
12.5	2	2019	0.00-0.05	0.20	0.24	0.44	1.32	1.2	72.8	0.6	16.0
12.5	2	2019	0.05-0.10	0.13	0.24	0.38	1.52	0.6	69.0	0.4	1.7
12.5	2	2019	0.10-0.20	0.14	0.23	0.38	1.53	0.6	67.4	0.4	4.3
7.5	2	2019	0.00-0.05	0.11	0.26	0.37	1.53	1.7	82.1	0.9	31.1
7.5	2	2019	0.05-0.10	0.17	0.23	0.40	1.40	1.1	67.7	0.6	15.6
7.5	2	2019	0.10-0.20	0.09	0.26	0.35	1.57	0.8	72.4	0.5	2.2
Ad. Mineral	3	2019	0.00-0.05	0.10	0.26	0.36	1.55	1.3	72.6	0.7	20.5
Ad. Mineral	3	2019	0.05-0.10	0.03	0.28	0.31	1.65	1.0	76.0	0.6	9.0
Ad. Mineral	3	2019	0.10-0.20	0.06	0.26	0.33	1.57	0.6	64.5	0.4	2.1
